alcaldia,eci,c_p,colonia,negocio,categoria,porcentaje_infectados,num_empleados
azcapotzalco,3.8655088585,2400,san juan tlihuaca,estetica,belleza,0.2022,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,legumbres,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,jugoslicuados,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,carniceria,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,frutaslegumbres,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,elaboracionalimentos,restaurantes,0.1528,3
miguel hidalgo,4.1527924150999995,11370,tlaxpana,tiendaabarrores,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,tiendaabarrores,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,catalogo,ventaproductos,0.1528,2
miguel hidalgo,4.1527924150999995,11400,popotla,tiendaabarrotes,comida,0.1528,3
miguel hidalgo,4.1527924150999995,11400,popotla,comida,restaurantes,0.1528,3
azcapotzalco,3.8655088585,2459,tezozomoc,comidallevarcomedor,restaurantes,0.1303,3
miguel hidalgo,4.1527924150999995,11370,tlaxpana,tiendasropa,ropa,0.1573,2
miguel hidalgo,4.1527924150999995,11400,popotla,bolsas,ventaproductos,0.1528,3
miguel hidalgo,4.1527924150999995,11400,popotla,restaurante,restaurantes,0.1528,3
miguel hidalgo,4.1527924150999995,11400,popotla,estetica,belleza,0.1528,3
miguel hidalgo,4.1527924150999995,11400,popotla,comida,restaurantes,0.1528,3
miguel hidalgo,4.1527924150999995,11400,popotla,telecomunicaciones,industria,0.1528,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,tortillera_tortilleria,comida,0.2022,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,tiendaabarrotes,comida,0.2022,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,pollera_polleria,comida,0.2022,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,regalospapeleria,papeleria,0.2022,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,cocinera_cocinaeconomica,restaurantes,0.2022,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,tiendasuplementosalimenticios,salud,0.17980000000000002,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,tiendasuplementosalimenticios,salud,0.17980000000000002,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,dentista,salud,0.2022,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,decoradorauas_salonbelleza,belleza,0.2022,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,diseadorauas_salonbelleza,belleza,0.2022,2
azcapotzalco,3.8655088585,2459,tezozomoc,papeleria,papeleria,0.1303,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,enfermera_medico,salud,0.2022,3
azcapotzalco,3.8655088585,2400,san juan tlihuaca,taquera_taqueria,restaurantes,0.2022,3
azcapotzalco,3.8655088585,2400,san juan tlihuaca,fotografo_tallerfotografia,fotografia,0.2022,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,tiendaarticulos,ventaproductos,0.2022,2
azcapotzalco,3.8655088585,2100,el rosario,zapateria,arreglosgeneral,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,locatario_alimentomascotas,mascotas,0.1528,1
miguel hidalgo,4.1527924150999995,11400,popotla,locatario_abarrotes,comida,0.1528,1
miguel hidalgo,4.1527924150999995,11400,popotla,cremeria,comida,0.1528,1
miguel hidalgo,4.1527924150999995,11400,popotla,locatario_abarrotes,comida,0.1528,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,mercadoanahuacanexo,electronicos,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,locatariopublico_abarrotes,comida,0.1528,1
miguel hidalgo,4.1527924150999995,16090,xaltocan,costurera_reparacionesbordadosropamedida,ropa,0.2921,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,chilessecos,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,legumbres,comida,0.1573,1
miguel hidalgo,4.1527924150999995,16450,santa maria nativitas,regalosnovedades,ventaproductos,0.2427,2
